gene_symbol,gene_symbol_official,gene_name,gene_description,gene_type,aliases,other_names,ensembl_gene_id,ensembl_transcript_ids,ensembl_protein_ids,uniprot_swissprot,uniprot_trembl,uniprot_entry_name,entrez_gene_id,refseq_mrna,refseq_protein,refseq_genomic,hgnc_id,omim_id,pharmgkb_id,string_id,pdb_ids,ec_number,interpro_domains,pfam_domains,prosite_domains,chromosome,start_position,end_position,strand,protein_length,subcellular_location,taxonomy_id,homologene_id,wikipedia_url,pathways
COL5A1,COL5A1,collagen type V alpha 1 chain,"This gene encodes an alpha chain for one of the low abundance fibrillar collagens. Fibrillar collagen molecules are trimers that can be composed of one or more types of alpha chains. Type V collagen is found in tissues containing type I collagen and appears to regulate the assembly of heterotypic fibers composed of both type I and type V collagen. This gene product is closely related to type XI collagen and it is possible that the collagen chains of types V and XI constitute a single collagen type with tissue-specific chain combinations. The encoded procollagen protein occurs commonly as the heterotrimer pro-alpha1(V)-pro-alpha1(V)-pro-alpha2(V). Mutations in this gene are associated with Ehlers-Danlos syndrome, types I and II. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, May 2013].",protein-coding,EDSC|EDSCL1|FMDMF,"collagen alpha-1(V) chain|collagen, type V, alpha 1",ENSG00000130635,ENST00000371817|ENST00000371820|ENST00000460264|ENST00000463925|ENST00000464187|ENST00000465877|ENST00000469093|ENST00000950240,ENSP00000360882|ENSP00000360885|ENSP00000620299,P20908,Q59EE7|B2ZZ86|H7BY82,CO5A1_HUMAN,1289,NM_000093.5|NM_001278074.1|XM_017014266.3|XM_054361962.1,NP_000084.3|NP_001265003.1|XP_016869755.1|XP_054217937.1,NC_000009.12|NC_060933.1|NG_008030.1,2209,120215,PA26724,9606.ENSP00000360882,7Y37,,IPR000885|IPR001791|IPR008160|IPR013320|IPR048287|IPR050149,PF01391|PF01410|PF02210,PS51461,9,134641803.0,134844843.0,1.0,1838,"Secreted, extracellular space, extracellular matrix",9606,55434.0,"Collagen, type V, alpha 1",pid:avb3_integrin_pathway|pid:deltanp63pathway|pid:integrin1_pathway|pid:syndecan_1_pathway|reactome:R-HSA-1266738|reactome:R-HSA-1442490|reactome:R-HSA-1474228|reactome:R-HSA-1474244|reactome:R-HSA-1474244|wikipathways:WP2328|wikipathways:WP2911|wikipathways:WP3932|wikipathways:WP3967
ACTB,POTEF,POTE ankyrin domain family member F,"Involved in retina homeostasis. Located in blood microparticle and extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",protein-coding,A26C1B|ACTB|POTE2alpha|POTEACTIN,ANKRD26-like family C member 1B|POTE ankyrin domain family member F|POTE-2 alpha-actin|beta actin|chimeric POTE-actin protein,ENSG00000196604,ENST00000361163|ENST00000409914,ENSP00000355012|ENSP00000386786,A5A3E0,A6NC16,ACTB_HUMAN,728378,NM_001099771.2|XM_017004833.2|XM_017004834.2|XM_017004835.2|XM_047445721.1|XM_054332885.1|XM_054343705.1|XM_054343706.1,NP_001093241.1|XP_016860322.1|XP_016860323.1|XP_016860324.1|XP_047301677.1|XP_054188860.1|XP_054199680.1|XP_054199681.1,NC_000002.12|NC_060926.1|NW_025791762.1,33905,,PA164724818,9606.ENSP00000494750,3BYH|3D2U|3J82|3LUE|6ANU|6ICT|6ICV|6LTJ|6MBJ|6MBK|6MBL|6NBW|6OX0|6OX1|6OX2|6OX3|6OX4|6OX5|6V62|6V63,,IPR002110|IPR036770|IPR050657|IPR004000|IPR004001|IPR020902|IPR039497|IPR043129,PF00022|PF12796|PF14915,PS50088|PS50297,2,130073535.0,130129222.0,-1.0,375,"Cytoplasm, cytoskeleton|Nucleus",9606,133745.0,,
TUBB,TUBB2A,tubulin beta 2A class IIa,"Microtubules, key participants in processes such as mitosis and intracellular transport, are composed of heterodimers of alpha- and beta-tubulins. The protein encoded by this gene is a beta-tubulin. Defects in this gene are associated with complex cortical dysplasia with other brain malformations-5. Two transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2015].",protein-coding,CDCBM5|TUBB|TUBB2,"class IIa beta-tubulin|tubulin beta-2A chain|tubulin, beta 2A|tubulin, beta polypeptide 2",ENSG00000137267,ENST00000333628|ENST00000489942|ENST00000679400|ENST00000679907|ENST00000680036|ENST00000680967|ENST00000940056,ENSP00000369703|ENSP00000610115,Q13885,,TBB5_HUMAN,7280,NM_001069.3|NM_001310315.2,NP_001060.1|NP_001297244.1,NC_000006.12|NC_060930.1|NG_042223.1,12412,615101,PA142670670,9606.ENSP00000339001,7NVN|8V3O|8V3P,,IPR000217|IPR002453|IPR003008|IPR008280|IPR013838|IPR017975|IPR018316|IPR023123|IPR036525|IPR037103,PF00091|PF03953,,6,3153497.0,3157544.0,-1.0,444,"Cytoplasm, cytoskeleton",9606,134314.0,TUBB2A,kegg:hsa04145|kegg:hsa04540|kegg:hsa05010|kegg:hsa05012|kegg:hsa05014|pid:hdac_classii_pathway|pid:hdac_classiii_pathway|reactome:R-HSA-109582|reactome:R-HSA-112314|reactome:R-HSA-112315|reactome:R-HSA-112316|reactome:R-HSA-1169410|wikipathways:WP2272|wikipathways:WP2359
VIM,VIM,vimentin,"This gene encodes a type III intermediate filament protein. Intermediate filaments, along with microtubules and actin microfilaments, make up the cytoskeleton. The encoded protein is responsible for maintaining cell shape and integrity of the cytoplasm, and stabilizing cytoskeletal interactions. This protein is involved in neuritogenesis and cholesterol transport and functions as an organizer of a number of other critical proteins involved in cell attachment, migration, and signaling. Bacterial and viral pathogens have been shown to attach to this protein on the host cell surface. Mutations in this gene are associated with congenital cataracts in human patients. [provided by RefSeq, Aug 2017].",protein-coding,,epididymis secretory sperm binding protein|vimentin,ENSG00000026025,ENST00000224237|ENST00000421459|ENST00000469543|ENST00000478746|ENST00000485947|ENST00000487938|ENST00000495528|ENST00000497849|ENST00000544301|ENST00000637053,ENSP00000224237|ENSP00000431702|ENSP00000435613|ENSP00000446007|ENSP00000489830|ENSP00000490509|ENSP00000552020|ENSP00000552021|ENSP00000552022|ENSP00000616843,P08670,B0YJC5|V9HWE1|B0YJC4|A0A1B0GVG8|A0A1B0GTT5,VIME_HUMAN,7431,NM_003380.5,NP_003371.2,NC_000010.11|NC_060934.1|NG_012413.1,12692,193060,PA37311,9606.ENSP00000446007,1GK4|1GK6|1GK7|3G1E|3KLT|3S4R|3SSU|3SWK|3TRT|3UF1|4MCY|4MCZ|4MD0|4MD5|4MDI|4MDJ|4YPC|4YV3|5WHF|6ATF,,IPR006821|IPR018039|IPR039008|IPR050405,PF00038|PF04732,PS51842,10,17228241.0,17237593.0,1.0,466,"Cytoplasm|Cytoplasm, cytoskeleton|Nucleus matrix",9606,2538.0,Vimentin,kegg:hsa05169|kegg:hsa05206|netpath:Pathway_Alpha6Beta4Integrin|netpath:Pathway_EGFR1|pid:aurora_b_pathway|pid:caspase_pathway|reactome:R-HSA-109581|reactome:R-HSA-111465|reactome:R-HSA-1266738|reactome:R-HSA-1280215|reactome:R-HSA-162582|wikipathways:WP2328|wikipathways:WP2431|wikipathways:WP2572|wikipathways:WP2814|wikipathways:WP2864
LMNA,LMNA,lamin A/C,"The protein encoded by this gene is part of the nuclear lamina, a two-dimensional matrix of proteins located next to the inner nuclear membrane. The lamin family of proteins make up the matrix and are highly conserved in evolution. During mitosis, the lamina matrix is reversibly disassembled as the lamin proteins are phosphorylated. Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. Vertebrate lamins consist of two types, A and B. Alternative splicing results in multiple transcript variants. Mutations in this gene lead to several diseases: Emery-Dreifuss muscular dystrophy, familial partial lipodystrophy, limb girdle muscular dystrophy, dilated cardiomyopathy, Charcot-Marie-Tooth disease, and Hutchinson-Gilford progeria syndrome. [provided by RefSeq, May 2022].",protein-coding,CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|MADA|PRO1,70 kDa lamin|epididymis secretory sperm binding protein|lamin|lamin A/C-like 1|lamin C,ENSG00000160789,ENST00000361308|ENST00000368297|ENST00000368298|ENST00000368299|ENST00000368300|ENST00000368301|ENST00000448611|ENST00000459904|ENST00000469565|ENST00000470199,ENSP00000355292|ENSP00000357280|ENSP00000357282|ENSP00000357283|ENSP00000357284|ENSP00000395597|ENSP00000421821|ENSP00000424518|ENSP00000426535|ENSP00000501648,P02545,Q5TCI8|H0YAB0|A0A384MQX1|A0A6Q8PF80|A0A6Q8PF59,LMNA_HUMAN,4000,NM_001257374.3|NM_001282624.2|NM_001282625.2|NM_001282626.2|NM_001406983.1|NM_001406984.1|NM_001406985.1|NM_001406986.1|NM_001406987.1|NM_001406988.1,NP_001244303.1|NP_001269553.1|NP_001269554.1|NP_001269555.1|NP_001393912.1|NP_001393913.1|NP_001393914.1|NP_001393915.1|NP_001393916.1|NP_001393917.1,NC_000001.11|NC_060925.1|NG_008692.2,6636,150330,PA231,9606.ENSP00000357283,1IFR|1IVT|1X8Y|2XV5|2YPT|3GEF|3V4Q|3V4W|3V5B|6GHD|6JLB|6RPR|6SNZ|6YF5|6YJD|7CRG|7D9N|7WZZ|7X1B|7X5D,,IPR001322|IPR018039|IPR036415|IPR039008,PF00038|PF00932,PS51841|PS51842,1,156082572.0,156140081.0,1.0,664,"Nucleus lamina|Nucleus envelope|Nucleus, nucleoplasm",9606,41321.0,LMNA,biocarta:caspasepathway|biocarta:deathpathway|biocarta:hivnefpathway|biocarta:tnfr1pathway|kegg:hsa04210|kegg:hsa05410|kegg:hsa05412|kegg:hsa05414|wikipathways:WP2118|wikipathways:WP236|wikipathways:WP314|wikipathways:WP4299|wikipathways:WP4758
KRT1,KRT1,keratin 1,"The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during differentiation of simple and stratified epithelial tissues. This type II cytokeratin is specifically expressed in the spinous and granular layers of the epidermis with family member KRT10 and mutations in these genes have been associated with bullous congenital ichthyosiform erythroderma. The type II cytokeratins are clustered in a region of chromosome 12q12-q13. [provided by RefSeq, Jul 2008].",protein-coding,AEI2|CK1|EHK|EHK1|EPPK|K1|KRT1A|NEPPK,67 kDa cytokeratin|CK-1|cytokeratin 1|epidermolytic hyperkeratosis 1|hair alpha protein,ENSG00000167768,ENST00000252244|ENST00000548765,ENSP00000252244,P04264,,K2C1_HUMAN,3848,NM_006121.4,NP_006112.3,NC_000012.12|NC_060936.1|NG_008364.2,6412,139350,PA30199,9606.ENSP00000252244,4ZRY|6E2J|6UUI,,IPR003054|IPR018039|IPR032444|IPR032449|IPR039008,PF00038|PF16208|PF16210,PS51842,12,52674736.0,52680407.0,-1.0,644,Cell membrane|Cytoplasm,9606,38146.0,Keratin 1,reactome:R-HSA-1266738|reactome:R-HSA-168249|reactome:R-HSA-168256|reactome:R-HSA-6798695|reactome:R-HSA-6805567
GRB2,GRB2,growth factor receptor bound protein 2,"The protein encoded by this gene binds the epidermal growth factor receptor and contains one SH2 domain and two SH3 domains. Its two SH3 domains direct complex formation with proline-rich regions of other proteins, and its SH2 domain binds tyrosine phosphorylated sequences. This gene is similar to the Sem5 gene of C.elegans, which is involved in the signal transduction pathway. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",protein-coding,ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2,HT027|SH2/SH3 adapter GRB2|abundant SRC homology|epidermal growth factor receptor-binding protein GRB2|epididymis secretory sperm binding protein,ENSG00000177885,ENST00000316615|ENST00000316804|ENST00000392562|ENST00000392563|ENST00000392564|ENST00000462266|ENST00000577711|ENST00000578961|ENST00000581959|ENST00000582582,ENSP00000317360|ENSP00000339007|ENSP00000376345|ENSP00000376346|ENSP00000376347|ENSP00000462785|ENSP00000463525|ENSP00000464279|ENSP00000496913|ENSP00000574827,P62993,J3QRL5|B0LPF3|J3KT38|J3QLF6,GRB2_HUMAN,2885,NM_002086.5|NM_203506.3,NP_002077.1|NP_987102.1,NC_000017.11|NC_060941.1|NG_029556.1,4566,108355,PA28962,9606.ENSP00000376345,1AZE|1BM2|1BMB|1CJ1|1FHS|1FYR|1GCQ|1GFC|1GFD|1GHU|1GRI|1IO6|1JYQ|1JYR|1JYU|1QG1|1TZE|1X0N|1ZFP|2AOA,,IPR000980|IPR001452|IPR035641|IPR035643|IPR036028|IPR036860|IPR043539,PF00017|PF00018|PF14604,PS50001|PS50002,17,75318076.0,75405709.0,-1.0,217,Nucleus|Cytoplasm|Endosome,9606,1576.0,GRB2,biocarta:at1rpathway|biocarta:bcrpathway|biocarta:biopeptidespathway|biocarta:cardiacegfpathway|biocarta:cblpathway|kegg:hsa04010|kegg:hsa04012|kegg:hsa04014|kegg:hsa04062|kegg:hsa04068|netpath:Pathway_Alpha6Beta4Integrin|netpath:Pathway_BCR|netpath:Pathway_BDNF|netpath:Pathway_EGFR1|netpath:Pathway_Fibroblast__growth__factor-1|pid:a6b1_a6b4_integrin_pathway|pid:angiopoietinreceptor_pathway|pid:bcr_5pathway|pid:cd8tcrpathway|pid:epha2_fwdpathway|reactome:R-HSA-109582|reactome:R-HSA-109704|reactome:R-HSA-112399|reactome:R-HSA-112399|reactome:R-HSA-112412|smpdb:SMP00358|smpdb:SMP00391|wikipathways:WP127|wikipathways:WP185|wikipathways:WP2034|wikipathways:WP2037|wikipathways:WP22
SHC1,SHC1,SHC adaptor protein 1,"This gene encodes three main isoforms that differ in activities and subcellular location. While all three are adapter proteins in signal transduction pathways, the longest (p66Shc) may be involved in regulating life span and the effects of reactive oxygen species. The other two isoforms, p52Shc and p46Shc, link activated receptor tyrosine kinases to the Ras pathway by recruitment of the GRB2/SOS complex. p66Shc is not involved in Ras activation. Unlike the other two isoforms, p46Shc is targeted to the mitochondrial matrix. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2011].",protein-coding,SHC|SHCA,SH2 domain protein C1|SHC (Src homology 2 domain containing) transforming protein 1|SHC-transforming protein 1|SHC-transforming protein 3|SHC-transforming protein A,ENSG00000160691,ENST00000366442|ENST00000368445|ENST00000368449|ENST00000368450|ENST00000368453|ENST00000412170|ENST00000414115|ENST00000444179|ENST00000444664|ENST00000448116,ENSP00000357430|ENSP00000357434|ENSP00000357435|ENSP00000357438|ENSP00000396162|ENSP00000396333|ENSP00000398441|ENSP00000398864|ENSP00000401303|ENSP00000404908,P29353,Q5T182|H0Y539|X6R6D0|Q5T187|Q5T188,SHC1_HUMAN,6464,NM_001130040.2|NM_001130041.2|NM_001202859.2|NM_003029.5|NM_183001.5|XM_005245449.6|XM_005245451.5|XM_011509892.4|XM_011509893.4|XM_011509894.4,NP_001123512.1|NP_001123513.1|NP_001189788.1|NP_003020.2|NP_892113.4|XP_005245506.1|XP_005245508.1|XP_011508194.1|XP_011508195.1|XP_011508196.1,NC_000001.11|NC_060925.1|NG_029028.1,10840,600560,PA35746,9606.ENSP00000401303,1MIL|1N3H|1OY2|1QG1|1SHC|1TCE|2L1C|4JMH|4XWX|5CZI|6DM4,,IPR000980|IPR006019|IPR006020|IPR011993|IPR035676|IPR036860|IPR051235,PF00017|PF00640,PS01179|PS50001,1,154962284.0,154974395.0,-1.0,583,"Cytoplasm|Cell junction, focal adhesion",9606,7934.0,SHC1,biocarta:at1rpathway|biocarta:bcrpathway|biocarta:biopeptidespathway|biocarta:cardiacegfpathway|biocarta:cdk5pathway|kegg:hsa04012|kegg:hsa04014|kegg:hsa04062|kegg:hsa04072|kegg:hsa04510|netpath:Pathway_Alpha6Beta4Integrin|netpath:Pathway_BCR|netpath:Pathway_BDNF|netpath:Pathway_EGFR1|netpath:Pathway_Fibroblast__growth__factor-1|pid:a6b1_a6b4_integrin_pathway|pid:angiopoietinreceptor_pathway|pid:bcr_5pathway|pid:cd8tcrpathway|pid:epha2_fwdpathway|wikipathways:WP127|wikipathways:WP185|wikipathways:WP2034|wikipathways:WP2037|wikipathways:WP23
GAB1,PIGU,phosphatidylinositol glycan anchor biosynthesis class U,"The protein encoded by this gene shares similarity with Saccharomyces cerevisiae Cdc91, a predicted integral membrane protein that may function in cell division control. The protein encoded by this gene is the fifth subunit of GPI transamidase that attaches GPI-anchors to proteins. [provided by RefSeq, Jul 2008].",protein-coding,CDC91L1|GAB1|GPIBD21|NEDBSS|PIG-U,"CDC91 (cell division cycle 91, S. cerevisiae, homolog)-like 1|GPI and Actin Bar homolog|GPI transamidase component PIG-U|GPI transamidase subunit|GPI transamidase subunit PIGU",ENSG00000101464,ENST00000217446|ENST00000374820|ENST00000438215|ENST00000462389|ENST00000480175|ENST00000628281|ENST00000897591|ENST00000897592|ENST00000897593|ENST00000897594,ENSP00000217446|ENSP00000363953|ENSP00000395755|ENSP00000567650|ENSP00000567651|ENSP00000567652|ENSP00000567653|ENSP00000567654|ENSP00000610127|ENSP00000610128,Q9H490,Q5JWU1,GAB1_HUMAN,128869,NM_080476.5|XM_011528542.2|XM_017027664.2|XM_054322981.1|XM_054322982.1,NP_536724.1|XP_011526844.1|XP_016883153.1|XP_054178956.1|XP_054178957.1,NC_000020.11|NC_060944.1|NG_011497.1,15791,608528,PA162399506,9606.ENSP00000262995,7W72|7WLD|8IMX|8IMY,,IPR009600,PF06728,,20,34560542.0,34698790.0,-1.0,694,,9606,6553.0,PIGU,reactome:R-HSA-162791|reactome:R-HSA-163125|reactome:R-HSA-392499|reactome:R-HSA-597592
IRS1,IRS1,insulin receptor substrate 1,"This gene encodes a protein which is phosphorylated by insulin receptor tyrosine kinase. Mutations in this gene are associated with type II diabetes and susceptibility to insulin resistance. [provided by RefSeq, Nov 2009].",protein-coding,HIRS-1,insulin receptor substrate 1,ENSG00000169047,ENST00000305123|ENST00000498335|ENST00000918829,ENSP00000304895|ENSP00000588888,P35568,,IRS1_HUMAN,3667,NM_005544.3|XM_047444223.1|XM_047444224.1|XM_054341875.1,NP_005535.1|XP_047300179.1|XP_047300180.1|XP_054197850.1,NC_000002.12|NC_060926.1|NG_015830.1,6125,147545,PA203,9606.ENSP00000304895,1IRS|1K3A|1QQG|2Z8C|5U1M|6BNT|7PPL|7PPM,,IPR001849|IPR002404|IPR011993|IPR039011,PF00169|PF02174,PS50003|PS51064,2,226731312.0,226799820.0,-1.0,1242,Cytoplasm|Nucleus,9606,4049.0,IRS1,biocarta:eif4pathway|biocarta:ghpathway|biocarta:igf1pathway|biocarta:igf1rpathway|biocarta:il2rbpathway|kegg:hsa04022|kegg:hsa04068|kegg:hsa04140|kegg:hsa04150|kegg:hsa04151|netpath:Pathway_Alpha6Beta4Integrin|netpath:Pathway_BDNF|netpath:Pathway_Ghrelin|netpath:Pathway_IL-7|netpath:Pathway_IL2|pid:avb3_integrin_pathway|pid:igf1_pathway|pid:il2_1pathway|pid:il4_2pathway|pid:insulin_pathway|reactome:R-HSA-109704|reactome:R-HSA-112399|reactome:R-HSA-112399|reactome:R-HSA-112412|reactome:R-HSA-112412|smpdb:SMP00391|smpdb:SMP00682|wikipathways:WP1584|wikipathways:WP1984|wikipathways:WP2034|wikipathways:WP2037|wikipathways:WP2261
TRAF6,TRAF6,TNF receptor associated factor 6,"The protein encoded by this gene is a member of the TNF receptor associated factor (TRAF) protein family. TRAF proteins are associated with, and mediate signal transduction from, members of the TNF receptor superfamily. This protein has an amino terminal RING domain which is followed by four zinc-finger motifs, a central coiled-coil region and a highly conserved carboxyl terminal domain, known as the TRAF-C domain and mediates signaling from members of the TNF receptor superfamily as well as the Toll/IL-1 family. Signals from receptors such as CD40, TNFSF11/RANCE and IL-1 have been shown to be mediated by this protein. This protein also interacts with various protein kinases including IRAK1/IRAK, SRC and PKCzeta, which provides a link between distinct signaling pathways. This protein functions as a signal transducer in the NF-kappaB pathway that activates IkappaB kinase (IKK) in response to proinflammatory cytokines. The interaction of this protein with UBE2N/UBC13, and UBE2V1/UEV1A, which are ubiquitin conjugating enzymes catalyzing the formation of polyubiquitin chains, has been found to be required for IKK activation by this protein. This protein also interacts with the transforming growth factor (TGF) beta receptor complex and is required for Smad-independent activation of the JNK and p38 kinases. The protein encoded by this gene is a key molecule in antiviral innate and antigen-specific immune responses. [provided by RefSeq, Nov 2021].",protein-coding,MGC:3310|RNF85,"E3 ubiquitin-protein ligase TRAF6|RING finger protein 85|RING-type E3 ubiquitin transferase TRAF6|TNF receptor-associated factor 6|TNF receptor-associated factor 6, E3 ubiquitin protein ligase",ENSG00000175104,ENST00000348124|ENST00000526995|ENST00000529150|ENST00000876418|ENST00000876419|ENST00000876420,ENSP00000337853|ENSP00000433623|ENSP00000546477|ENSP00000546478|ENSP00000546479,Q9Y4K3,,TRAF6_HUMAN,7189,NM_004620.4|NM_145803.3,NP_004611.1|NP_665802.1,NC_000011.10|NC_060935.1,12036,602355,PA36713,9606.ENSP00000433623,1LB4|1LB5|1LB6|2ECI|2JMD|3HCS|3HCT|3HCU|4Z8M|5ZUJ|6A33|7L3L|8HZ2,2.3.2.27,IPR001293|IPR001841|IPR002083|IPR008974|IPR012227|IPR013083|IPR017907|IPR027139|IPR037309|IPR041310,PF02176|PF13923|PF18048|PF21355,PS50089|PS50144|PS50145,11,36483769.0,36510292.0,-1.0,522,"Cytoplasm|Cytoplasm, cell cortex|Nucleus",9606,3395.0,TRAF6,biocarta:cd40pathway|biocarta:il1rpathway|biocarta:nfkbpathway|biocarta:ranklpathway|biocarta:tall1pathway|kegg:hsa04010|kegg:hsa04064|kegg:hsa04120|kegg:hsa04140|kegg:hsa04144|netpath:Pathway_BDNF|netpath:Pathway_IL1|netpath:Pathway_RANKL|netpath:Pathway_TNFalpha|pid:bcr_5pathway|pid:cd40_pathway|pid:cd8tcrpathway|pid:il1pathway|pid:nfkappabcanonicalpathway|reactome:R-HSA-1257604|reactome:R-HSA-1280215|reactome:R-HSA-1280218|reactome:R-HSA-162582|reactome:R-HSA-162582|wikipathways:WP1449|wikipathways:WP1772|wikipathways:WP195|wikipathways:WP2018|wikipathways:WP2112
MYD88,MYD88,MYD88 innate immune signal transduction adaptor,"This gene encodes a cytosolic adapter protein that plays a central role in the innate and adaptive immune response. This protein functions as an essential signal transducer in the interleukin-1 and Toll-like receptor signaling pathways. These pathways regulate that activation of numerous proinflammatory genes. The encoded protein consists of an N-terminal death domain and a C-terminal Toll-interleukin1 receptor domain. Patients with defects in this gene have an increased susceptibility to pyogenic bacterial infections. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Feb 2010].",protein-coding,IMD68|MYD88D|WM1,TLR adaptor MYD88|mutant myeloid differentiation primary response 88|myeloid differentiation primary response 88|myeloid differentiation primary response gene (88)|myeloid differentiation primary response protein MyD88,ENSG00000172936,ENST00000416282|ENST00000417037|ENST00000421516|ENST00000460295|ENST00000463956|ENST00000481122|ENST00000484513|ENST00000650112|ENST00000650905|ENST00000651800,ENSP00000391753|ENSP00000401399|ENSP00000497991|ENSP00000498360|ENSP00000498576|ENSP00000499012|ENSP00000514121|ENSP00000533054|ENSP00000639126|ENSP00000639127,Q99836,A0A0A0MSI9|A0A3F2YP85|A0A494C0J8|A0A3B3ITY3|A0A8V8TP38,MYD88_HUMAN,4615,NM_001172566.2|NM_001172567.2|NM_001172568.2|NM_001172569.3|NM_001365876.1|NM_001365877.1|NM_001374787.1|NM_001374788.1|NM_002468.5|NR_164663.1,NP_001166037.2|NP_001166038.2|NP_001166039.2|NP_001166040.2|NP_001352805.1|NP_001352806.1|NP_001361716.1|NP_002459.3,NC_000003.12|NC_060927.1|NG_016964.1,7562,602170,PA31361,9606.ENSP00000498321,2JS7|2Z5V|3MOP|4DOM|4EO7|6I3N|7BEQ|7BER|7L6W|8S78|8W8M,,IPR000157|IPR000488|IPR011029|IPR017281|IPR034249|IPR035897,PF00531|PF13676|PF01582,PS50017|PS50104,3,38138552.0,38143024.0,1.0,296,Cytoplasm|Nucleus,9606,1849.0,MYD88,biocarta:gsk3pathway|biocarta:il1rpathway|biocarta:nfkbpathway|biocarta:nthipathway|biocarta:tollpathway|kegg:hsa04010|kegg:hsa04064|kegg:hsa04620|kegg:hsa04621|kegg:hsa05130|netpath:Pathway_IL1|netpath:Pathway_RAGE|pid:il1pathway|pid:p75ntrpathway|pid:toll_endogenous_pathway|wikipathways:WP1449|wikipathways:WP1772|wikipathways:WP195|wikipathways:WP2324|wikipathways:WP2637
TIRAP,TIRAP,TIR domain containing adaptor protein,"The innate immune system recognizes microbial pathogens through Toll-like receptors (TLRs), which identify pathogen-associated molecular patterns. Different TLRs recognize different pathogen-associated molecular patterns and all TLRs have a Toll-interleukin 1 receptor (TIR) domain, which is responsible for signal transduction. The protein encoded by this gene is a TIR adaptor protein involved in the TLR4 signaling pathway of the immune system. It activates NF-kappa-B, MAPK1, MAPK3 and JNK, which then results in cytokine secretion and the inflammatory response. Alternative splicing of this gene results in several transcript variants; however, not all variants have been fully described. [provided by RefSeq, Jul 2008].",protein-coding,BACTS1|Mal|MyD88-2|wyatt,MyD88 adapter-like protein|Toll-like receptor adaptor protein|adapter protein wyatt|adaptor protein Wyatt|toll-interleukin 1 receptor (TIR) domain containing adaptor protein,ENSG00000150455,ENST00000392678|ENST00000392679|ENST00000392680|ENST00000462401|ENST00000467006|ENST00000479770|ENST00000488598|ENST00000700488|ENST00000700489|ENST00000700490,ENSP00000376445|ENSP00000376446|ENSP00000376447|ENSP00000436967|ENSP00000446213|ENSP00000515016|ENSP00000515017|ENSP00000515018|ENSP00000515019|ENSP00000515020,P58753,F5H2K1|A0A8V8TPR1,TIRAP_HUMAN,114609,NM_001039661.2|NM_001318776.2|NM_001318777.2|NM_052887.2|NM_148910.3,NP_001034750.1|NP_001305705.1|NP_001305706.1|NP_683708.1,NC_000011.10|NC_060935.1|NG_011523.1,17192,606252,PA134972842,9606.ENSP00000376445,2NDH|2Y92|3UB2|3UB3|3UB4|4FZ5|4LQD|5T7Q|5UZB|8JZM,,IPR000157|IPR017279|IPR035897,PF13676,PS50104,11,126282497.0,126298845.0,1.0,221,Cytoplasm|Cell membrane|Membrane,9606,14285.0,,biocarta:gsk3pathway|biocarta:tollpathway|kegg:hsa04064|kegg:hsa04620|kegg:hsa05130|kegg:hsa05132|kegg:hsa05133|wikipathways:WP1449|wikipathways:WP2324|wikipathways:WP3851|wikipathways:WP3858|wikipathways:WP4136
